Category,Subcategory,Example_Attributes
Furniture,Sofas & Sectionals,"Style, seats, fabric/leather, modular, recliner, dimensions"
Furniture,Armchairs & Accent Chairs,"Style, upholstery, swivel/recliner, legs material"
Furniture,Dining Tables,"Shape, seats, top material, base, extendable"
Furniture,Dining Chairs & Benches,"Upholstered, stackable, arm/no-arm, outdoor-rated"
Furniture,Beds,"Size, headboard type, storage, frame material"
Furniture,Mattresses,"Size, type (foam/spring/latex), firmness"
Furniture,Side/Center Tables,"Shape, top material, nesting, storage"
Furniture,TV Units & Media Consoles,"Width, cable mgmt, wall/floor mounted"
Furniture,Wardrobes & Closets,"Hinged/slider, carcass material, finishes, internals"
Furniture,Dressers & Consoles,"Drawers, handles, finish, legs"
Furniture,Bookshelves & Cabinets,"Open/closed, glass doors, modular"
Furniture,Kids Furniture,"Safety edges, storage, adjustable sizes"
Furniture,Outdoor Furniture,"Weather rating, frames, cushions, stackable"
Lighting,Ceiling Lights,"Flush/semi-flush, lumen, CCT, dimmable"
Lighting,Downlights,"Cutout, beam angle, CRI, CCT, trim color"
Lighting,Pendants & Chandeliers,"Height adjustable, diameter, sockets"
Lighting,Wall Lights,"IP rating, up/down, reading/ambient"
Lighting,Floor & Table Lamps,"Switch type, shade, dimmer, smart"
Lighting,Track & Linear Systems,"Track type, heads, drivers, controls"
Lighting,Exterior Lighting,"IP, IK, bollards, facade washers"
Lighting,Smart Lighting Controls,"DALI, 0-10V, Casambi, Zigbee"
Kitchens,Modular Kitchen Systems,"Layout, modules, carcass, shutter finish"
Kitchens,Countertops,"Quartz/granite/solid-surface, thickness, edge"
Kitchens,Sinks,"Bowl config, mount type, material, drainers"
Kitchens,Faucets (Kitchen),"Pull-out, filtration, finish, flow rate"
Kitchens,Cabinet Hardware,"Hinges, drawer systems, lifters, soft-close"
Kitchens,Storage Accessories,"Corner units, pull-outs, spice racks, bins"
Kitchens,Backsplash & Wall Panels,"Tile, glass, quartz, compact laminate"
Appliances,Cooking (Ovens/Hobs/Hoods),"Fuel/electric, zones/burners, width, extraction"
Appliances,Refrigeration,"Type, capacity, finish, energy rating"
Appliances,Dishwashers,"Place settings, noise, panel-ready"
Appliances,Microwaves & Steam Ovens,"Built-in/freestanding, capacity, features"
Appliances,Laundry (Washer/Dryer),"Capacity, heat-pump, stackable"
Appliances,Small Appliances (Kitchen),"Toaster, mixer, coffee, blender"
Bathroom Fittings,Faucets & Mixers,"Basin, bath, shower mixers; finish; flow"
Bathroom Fittings,Showers & Systems,"Handshower, rain, thermostatic, body jets"
Bathroom Fittings,Sanitaryware,"WCs (wall/floor), basins, bidets"
Bathroom Fittings,Shower Enclosures,"Framed/semi/frameless, glass thickness, finish"
Bathroom Fittings,Bathtubs & Spas,"Freestanding, inset, size, material"
Bathroom Fittings,Accessories,"Towel rails, holders, shelves, mirrors"
Bathroom Fittings,Vanities & Storage,"Widths, tops, basins, soft-close"
Bathroom Fittings,Water Heaters,"Instant/storage, capacity, energy rating"
Surfaces,Flooring (Tiles/Stone/Wood),"Material, size, finish, slip rating"
Surfaces,Wall Tiles & Cladding,"Material, size, texture, grout"
Surfaces,Wood & Engineered Floors,"Species, plank size, finish, installation"
Surfaces,Vinyl/LVT/Laminate,"Wear layer, click/glue, waterproof"
Surfaces,Carpets & Rugs,"Pile type, fiber, backing"
Surfaces,Countertops (Bath/Vanity),"Material, thickness, edge"
Walls & Ceilings,Paints & Primers,"Finish, VOC, washability, shade codes"
Walls & Ceilings,Wallpapers,"Type, repeat, backing, washability"
Walls & Ceilings,Wall Panels,"MDF/PU/laminate, slatted, acoustic"
Walls & Ceilings,False Ceilings,"Gypsum/metal/wood, access panels"
Walls & Ceilings,Cornices & Mouldings,"Profiles, materials, lengths"
Doors & Windows,Internal Doors,"Solid/engineered, fire rating, finish"
Doors & Windows,External Doors,"Weather rating, security hardware"
Doors & Windows,Windows & Glazing,"uPVC/aluminium, glazing type, U-value"
Doors & Windows,Skylights & Roof Windows,"Fixed/vented, flashing kits"
Doors & Windows,Hardware,"Hinges, locks, handles, closers"
Electricals,Switches & Sockets,"Modular systems, finishes, smart options"
Electricals,Wiring Devices & Conduit,"Ratings, colors, accessories"
Electricals,Distribution Boards & MCBs,"Load, poles, brands"
Electricals,Home Automation,"Hubs, sensors, relays, scenes"
Electricals,Smart Shades/Blinds,"Motor type, control, fabric"
Electricals,Audio/Video & Networking,"In-wall speakers, racks, Wi‑Fi, cabling"
HVAC,AC Units,"Split/cassette/ducted, capacity, efficiency, noise"
HVAC,Ventilation & Exhaust,"CFM, duct sizes, silencers"
HVAC,Thermostats & Controls,"Programmable, smart, protocols"
